B-17,Boeing B-17,B17,Flying Fortress,
B-24,Consolidated B-24 Liberator,B24,Liberator,
B-25,North American B-25 Mitchell,B25,Mitchell,
Anson,Avro Anson,,,
Beaufighter,Bristol Beaufighter,Bristol Type 156,Beau,
Battle,Fairey Battle,,,
Blenheim,Bristol Blenheim,,,
Boston,Douglas A-20 Havoc,DB-7,,
Catalina,Catalina flying boat,Consolidated PBY Catalina,Canso,
DC-3,DC3,DC-3 Dakota,Douglas DC-3,
Do 16,Dornier 16,Wal,Dornier Do J,
Do 18,Dornier 18,Dornier Do 18,,
Do 24,Dornier 24,Dornier Do 24,,
Do 215,Dornier 215,Dornier Do 215,,
Do 217,Dornier 217,Dornier Do 217,,
Fw 190,Focke-Wulf 190,Fw 190 WÃ¼rger,,
He 111,Heinkel 111,,,
Halifax,Handley Page Halifax,,,
Halifax Mk 1,Halifax Mk. 1,Halifax Mk 1,Halifax Mk I,Halifax Mark 1
Halifax Mk 2,Halifax Mk. 2,Halifax Mk 2,Halifax Mk II,Halifax Mark 2
Halifax Mk 3,Halifax Mk. 3,Halifax Mk 3,Halifax Mk III,Halifax Mark 3
Hampden,Handley Page Hampden,,,
Hudson,Lockheed Hudson,,,
Hurricane,Hawker Hurricane,,,
Ju 86,Junkers 86,Junkers Ju 86,,
Ju 87,Junkers 87,Stuka,dive-bomber,
Ju 88,Junkers Ju 88,Junkers 88,,
Lancaster,Avro Lancaster,Lanc,,
Lancaster Mk 1,Lancaster Mk. 1,Lancaster Mk 1,Lancaster Mk I,Lancaster Mark 1
Lancaster Mk 2,Lancaster Mk. 2,Lancaster Mk 2,Lancaster Mk II,Lancaster Mark 2
Lancaster Mk 3,Lancaster Mk. 3,Lancaster Mk 3,Lancaster Mk III,Lancaster Mark 3
Lysander,Westland Lysander,,,
Me 110,Messerschmitt Bf 110,,,
Me 109,Messerschmitt Bf 109,,,
Me 163,Messerschmitt 163,Messerschmitt Me 163 Komet,,
Me 262,Messerschmitt 262,Messerschmitt Me 262,Me 262 Schwalbe,Me 262 Schwalbe/ Sturmvogel
Manchester,Avro Manchester,,,
Mosquito,Mossie,The Wooden Wonder,,
Oxford,Airspeed Oxford,Airspeed AS.10,,
P-38,P38,P-38 Lightning,Lockheed P-38 Lightning,P-38
P-40,P40,P-40 Kittyhawk,Curtiss P-40,
P-51,P51,P-51 Mustang,North American Aviation P-51 Mustang,